COM,PMUN,PCAP,PTOT
Valleroy,156,2,158
Valonne,244,3,247
Valoreille,127,4,131
Vandoncourt,830,32,862
Vaucluse,120,30,150
Vauclusotte,87,1,88
Vaudrivillers,91,0,91
Vaufrey,158,0,158
Vaux-et-Chantegrue,585,13,598
Velesmes-Essarts,348,4,352
Vellerot-lès-Belvoir,96,0,96
Vellerot-lès-Vercel,67,1,68
Vellevans,234,6,240
Venise,513,7,520
Vennans,259,8,267
Vennes,182,4,186
Vercel-Villedieu-le-Camp,1591,83,1674
Vergranne,108,4,112
Verne,127,4,131
Vernierfontaine,462,11,473
Vernois-lès-Belvoir,60,1,61
Le Vernoy,168,3,171
Verrières-de-Joux,450,11,461
La Vèze,455,7,462
Vieilley,699,19,718
Viéthorey,94,2,96
Vieux-Charmont,2744,54,2798
Villars-lès-Blamont,441,6,447
Villars-Saint-Georges,273,2,275
Villars-sous-Dampjoux,356,9,365
Villars-sous-Écot,352,8,360
Ville-du-Pont,315,7,322
Les Villedieu,207,3,210
Villeneuve-d'Amont,235,37,272
Villers-Buzon,259,1,260
Villers-Chief,123,1,124
Villers-Grélot,152,3,155
Villers-la-Combe,51,1,52
Villers-le-Lac,4985,111,5096
Villers-Saint-Martin,212,5,217
Villers-sous-Chalamont,296,3,299
Villers-sous-Montrond,210,3,213
Voillans,208,6,214
Voires,92,0,92
Vorges-les-Pins,602,11,613
Voujeaucourt,3175,84,3259
Vuillafans,757,13,770
Vuillecin,641,23,664
Vyt-lès-Belvoir,188,3,191
Albon,1937,36,1973
Aleyrac,47,0,47
Alixan,2509,75,2584
Allan,1727,49,1776
Allex,2515,78,2593
Ambonil,113,7,120
Ancône,1341,29,1370
Andancette,1339,36,1375
Anneyron,3999,92,4091
Aouste-sur-Sye,2524,41,2565
Arnayon,24,3,27
Arpavon,77,3,80
Arthémonay,588,8,596
Aubenasson,72,5,77
Aubres,421,16,437
Aucelon,16,0,16
Aulan,11,1,12
Aurel,245,3,248
Autichamp,121,4,125
Ballons,83,3,86
Barbières,1059,18,1077
Barcelonne,349,10,359
Barnave,198,11,209
Barret-de-Lioure,74,0,74
Barsac,138,3,141
Bathernay,254,8,262
La Bâtie-des-Fonds,4,0,4
La Bâtie-Rolland,1029,27,1056
La Baume-Cornillane,443,9,452
La Baume-d'Hostun,571,9,580
La Baume-de-Transit,881,16,897
Beaufort-sur-Gervanne,471,8,479
Beaumont-en-Diois,104,4,108
Beaumont-lès-Valence,3649,85,3734
Beaumont-Monteux,1317,17,1334
Beauregard-Baret,854,13,867
Beaurières,67,2,69
Beausemblant,1432,26,1458
Beauvallon,1591,27,1618
Beauvoisin,145,4,149
La Bégude-de-Mazenc,1656,47,1703
Bellecombe-Tarendol,75,3,78
Bellegarde-en-Diois,85,0,85
Bénivay-Ollon,66,1,67
Bésayes,1221,35,1256
Bésignan,82,2,84
Bézaudun-sur-Bîne,68,2,70
Bonlieu-sur-Roubion,469,12,481
Bouchet,1512,23,1535
Boulc,134,2,136
Bourdeaux,653,17,670
Bourg-de-Péage,10205,179,10384
Bourg-lès-Valence,19975,579,20554
Bouvante,226,3,229
Bouvières,146,6,152
Bren,563,9,572
Brette,40,0,40
Buis-les-Baronnies,2302,96,2398
Chabeuil,6875,178,7053
Chabrillan,721,8,729
Le Chaffal,39,0,39
Chalancon,53,1,54
Le Chalon,211,6,217
Chamaloc,131,3,134
Chamaret,546,11,557
Chanos-Curson,1078,33,1111
Chantemerle-les-Blés,1282,22,1304
Chantemerle-lès-Grignan,251,3,254
La Chapelle-en-Vercors,713,132,845
La Charce,34,0,34
Charens,28,0,28
Charmes-sur-l'Herbasse,927,23,950
Charols,918,14,932
Charpey,1417,36,1453
Chastel-Arnaud,40,0,40
Châteaudouble,578,24,602
Châteauneuf-de-Bordette,96,5,101
Châteauneuf-de-Galaure,1808,578,2386
Châteauneuf-du-Rhône,2725,55,2780
Châteauneuf-sur-Isère,3875,139,4014
Châtillon-en-Diois,666,13,679
Châtillon-Saint-Jean,1359,35,1394
Chatuzange-le-Goubet,5516,125,5641
Chaudebonne,56,1,57
La Chaudière,28,0,28
Chauvac-Laux-Montaux,42,0,42
Chavannes,710,11,721
Clansayes,529,13,542
Claveyson,865,23,888
Cléon-d'Andran,836,35,871
Clérieux,2017,36,2053
Cliousclat,638,16,654
Cobonne,161,4,165
Colonzelle,549,12,561
Combovin,422,14,436
Comps,156,10,166
Condillac,139,6,145
Condorcet,486,4,490
Cornillac,83,2,85
Cornillon-sur-l'Oule,69,6,75
La Coucourde,1071,19,1090
Crépol,563,1,564
Crest,8505,268,8773
Crozes-Hermitage,670,10,680
Crupies,100,1,101
Curnier,181,8,189
Die,4621,242,4863
Dieulefit,3159,138,3297
Divajeu,640,69,709
Donzère,5833,94,5927
Échevis,51,4,55
Épinouze,1521,20,1541
Érôme,811,9,820
Espeluche,1064,39,1103
Espenel,172,2,174
Establet,27,0,27
Étoile-sur-Rhône,5478,125,5603
Eurre,1334,32,1366
Eygalayes,86,0,86
Eygaliers,104,3,107
Eygluy-Escoulin,67,0,67
Eymeux,1024,22,1046
Eyroles,28,0,28
Eyzahut,147,1,148
Fay-le-Clos,163,4,167
Félines-sur-Rimandoule,79,1,80
Ferrassières,127,2,129
Francillon-sur-Roubion,190,5,195
La Garde-Adhémar,1107,34,1141
Génissieux,2282,55,2337
Gervans,554,10,564
Geyssans,717,28,745
Gigors-et-Lozeron,193,5,198
Glandage,113,1,114
Le Grand-Serre,912,51,963
Grane,1913,52,1965
Les Granges-Gontardes,643,19,662
Granges-les-Beaumont,927,10,937
Grignan,1551,41,1592
Gumiane,20,1,21
Hauterives,1895,56,1951
Hostun,983,8,991
Izon-la-Bruisse,10,0,10
Jaillans,892,12,904
Jonchères,28,0,28
Laborel,102,1,103
Lachau,232,5,237
Lapeyrouse-Mornay,1219,18,1237
Larnage,1078,30,1108
La Laupie,756,18,774
Laval-d'Aix,118,2,120
Laveyron,1187,17,1204
Lemps,50,0,50
Lens-Lestang,882,29,911
Léoncel,51,0,51
Lesches-en-Diois,53,1,54
Livron-sur-Drôme,9104,136,9240
Loriol-sur-Drôme,6593,87,6680
Luc-en-Diois,527,2,529
Lus-la-Croix-Haute,549,6,555
Malataverne,2012,38,2050
Malissard,3201,96,3297
Manas,194,10,204
Manthes,670,10,680
Marches,836,20,856
Margès,1159,21,1180
Marignac-en-Diois,214,9,223
Marsanne,1343,38,1381
Marsaz,761,25,786
Menglon,517,8,525
Mercurol-Veaunes,2664,55,2719
Mérindol-les-Oliviers,236,5,241
Mévouillon,238,7,245
Mirabel-aux-Baronnies,1620,28,1648
Mirabel-et-Blacons,1095,28,1123
Mirmande,585,13,598
Miscon,55,1,56
Mollans-sur-Ouvèze,1061,24,1085
Montauban-sur-l'Ouvèze,110,0,110
Montaulieu,83,4,87
Montboucher-sur-Jabron,2285,57,2342
Montbrison-sur-Lez,281,11,292
Montbrun-les-Bains,441,9,450
Montchenu,579,16,595
Montclar-sur-Gervanne,186,3,189
Montéléger,1806,140,1946
Montélier,4140,114,4254
Montélimar,39097,1130,40227
Montferrand-la-Fare,29,0,29
Montfroc,75,1,76
Montguers,45,6,51
Montjoux,332,11,343
Montjoyer,286,8,294
Montlaur-en-Diois,146,5,151
Montmaur-en-Diois,83,0,83
Montmeyran,2916,95,3011
Montmiral,671,17,688
Montoison,1925,52,1977
Montréal-les-Sources,23,0,23
Montségur-sur-Lauzon,1312,27,1339
Montvendre,1185,29,1214
Moras-en-Valloire,667,15,682
Mornans,72,0,72
La Motte-Chalancon,426,19,445
La Motte-de-Galaure,795,15,810
La Motte-Fanjas,193,0,193
Mours-Saint-Eusèbe,3153,54,3207
Mureils,465,8,473
Nyons,6793,187,6980
Omblèze,72,1,73
Orcinas,38,0,38
Oriol-en-Royans,532,6,538
Ourches,251,6,257
Parnans,697,21,718
Le Pègue,364,6,370
Pelonne,24,0,24
La Penne-sur-l'Ouvèze,96,1,97
Pennes-le-Sec,36,0,36
Peyrins,2751,71,2822
Peyrus,606,8,614
Piégon,260,10,270
Piégros-la-Clastre,843,35,878
Pierrelatte,13496,256,13752
Pierrelongue,217,4,221
Les Pilles,246,2,248
Plaisians,199,4,203
Plan-de-Baix,147,3,150
Le Poët-Célard,127,2,129
Le Poët-en-Percip,17,0,17
Le Poët-Laval,933,41,974
Le Poët-Sigillat,121,1,122
Pommerol,11,0,11
Ponet-et-Saint-Auban,125,4,129
Ponsas,527,8,535
Pont-de-Barret,670,17,687
Pont-de-l'Isère,3503,53,3556
Pontaix,168,1,169
Portes-en-Valdaine,399,12,411
Portes-lès-Valence,10610,148,10758
Poyols,70,1,71
Pradelle,18,0,18
Les Prés,24,0,24
Propiac,131,2,133
Puy-Saint-Martin,886,29,915
Puygiron,433,21,454
Ratières,270,12,282
Réauville,387,11,398
Recoubeau-Jansac,269,7,276
Reilhanette,144,2,146
Rémuzat,343,7,350
La Répara-Auriples,235,6,241
Rimon-et-Savel,27,2,29
Rioms,26,1,27
La Roche-de-Glun,3272,75,3347
Roche-Saint-Secret-Béconne,452,14,466
La Roche-sur-Grane,170,4,174
La Roche-sur-le-Buis,288,10,298
Rochebaudin,121,0,121
Rochebrune,61,0,61
Rochechinard,120,2,122
Rochefort-en-Valdaine,355,9,364
Rochefort-Samson,1007,20,1027
Rochefourchat,1,0,1
Rochegude,1579,45,1624
La Rochette-du-Buis,72,2,74
Romans-sur-Isère,33160,672,33832
Romeyer,197,8,205
Rottier,21,2,23
Roussas,365,9,374
Rousset-les-Vignes,289,9,298
Roussieux,23,1,24
Roynac,486,18,504
Sahune,313,6,319
Saillans,1278,19,1297
Saint-Agnan-en-Vercors,376,10,386
Saint-Andéol,83,1,84
Saint-Auban-sur-l'Ouvèze,213,4,217
Saint-Avit,306,8,314
Saint-Bardoux,622,19,641
Saint-Barthélemy-de-Vals,1869,31,1900
Saint-Benoit-en-Diois,27,1,28
Saint-Christophe-et-le-Laris,416,5,421
Saint-Dizier-en-Diois,48,0,48
Saint-Donat-sur-l'Herbasse,4195,91,4286
Saint-Ferréol-Trente-Pas,258,5,263
Saint-Gervais-sur-Roubion,1035,21,1056
Saint-Jean-en-Royans,2868,67,2935
Saint-Julien-en-Quint,153,1,154
Saint-Julien-en-Vercors,238,5,243
Saint-Laurent-d'Onay,154,4,158
Saint-Laurent-en-Royans,1419,49,1468
Saint-Marcel-lès-Sauzet,1244,44,1288
Saint-Marcel-lès-Valence,6236,127,6363
Saint-Martin-d'Août,383,16,399
Saint-Martin-en-Vercors,361,14,375
Saint-Martin-le-Colonel,192,6,198
Saint-Maurice-sur-Eygues,781,14,795
Saint-May,39,1,40
Saint-Michel-sur-Savasse,583,10,593
Saint-Nazaire-en-Royans,804,10,814
Saint-Nazaire-le-Désert,193,8,201
Saint-Pantaléon-les-Vignes,441,16,457
Saint-Paul-lès-Romans,1822,47,1869
Saint-Paul-Trois-Châteaux,8937,457,9394
Saint-Rambert-d'Albon,6530,65,6595
Saint-Restitut,1387,45,1432
Saint-Roman,201,3,204
Saint-Sauveur-en-Diois,55,1,56
Saint-Sauveur-Gouvernet,182,6,188
Saint-Sorlin-en-Valloire,2268,31,2299
Saint-Thomas-en-Royans,596,14,610
Saint-Uze,2046,22,2068
Saint-Vallier,3915,152,4067
Saint-Vincent-la-Commanderie,541,7,548
Sainte-Croix,106,3,109
Sainte-Eulalie-en-Royans,544,13,557
Sainte-Euphémie-sur-Ouvèze,70,3,73
Sainte-Jalle,308,6,314
Salettes,145,2,147
Salles-sous-Bois,191,3,194
Saou,571,23,594
Saulce-sur-Rhône,1855,32,1887
Sauzet,1840,57,1897
Savasse,1444,41,1485
Séderon,264,4,268
Serves-sur-Rhône,729,13,742
Solaure en Diois,444,8,452
Solérieux,335,7,342
Souspierre,97,2,99
Soyans,388,6,394
Suze,234,5,239
Suze-la-Rousse,2104,53,2157
Tain-l'Hermitage,6162,204,6366
Taulignan,1677,29,1706
Tersanne,357,5,362
Teyssières,88,0,88
Les Tonils,25,0,25
La Touche,253,7,260
Les Tourrettes,1030,13,1043
Triors,567,8,575
Truinas,119,4,123
Tulette,1989,39,2028
Upie,1520,45,1565
Vachères-en-Quint,32,0,32
Val-Maravel,55,0,55
Valaurie,593,16,609
Valdrôme,146,1,147
Valence,63714,1314,65028
Valherbasse,1010,23,1033
Valouse,36,0,36
Vassieux-en-Vercors,313,4,317
Vaunaveys-la-Rochette,584,11,595
Venterol,699,20,719
Vercheny,461,6,467
Verclause,59,1,60
Vercoiran,141,6,147
Véronne,46,2,48
Vers-sur-Méouge,42,1,43
Vesc,260,8,268
Villebois-les-Pins,16,0,16
Villefranche-le-Château,20,1,21
Villeperdrix,118,0,118
Vinsobres,1115,25,1140
Volvent,33,0,33
Aclou,324,9,333
Acon,468,8,476
Acquigny,1586,34,1620
Aigleville,409,8,417
Ailly,1159,17,1176
Aizier,137,2,139
Alizay,1544,17,1561
Ambenay,566,8,574
Amécourt,162,1,163
Amfreville-les-Champs,453,16,469
Amfreville-Saint-Amand,1204,14,1218
Amfreville-sous-les-Monts,494,11,505
Amfreville-sur-Iton,830,22,852
Andé,1288,31,1319
Les Andelys,8056,143,8199
Angerville-la-Campagne,1391,36,1427
Appeville-Annebault,1013,11,1024
Armentières-sur-Avre,170,7,177
Arnières-sur-Iton,1682,43,1725
Asnières,320,9,329
Aulnay-sur-Iton,709,21,730
Autheuil-Authouillet,958,19,977
Authevernes,400,8,408
Les Authieux,294,7,301
Authou,338,4,342
Aviron,1100,59,1159
Bacquepuis,313,7,320
Bacqueville,628,9,637
Bailleul-la-Vallée,114,1,115
Bâlines,567,8,575
Barc,1225,17,1242
Les Barils,269,6,275
Barneville-sur-Seine,511,38,549
La Baronnie,718,15,733
Barquet,449,6,455
Barville,71,0,71
Les Baux-de-Breteuil,664,20,684
Les Baux-Sainte-Croix,840,38,878
Bazincourt-sur-Epte,757,12,769
Bazoques,161,1,162
Beaubray,318,6,324
Beauficel-en-Lyons,188,3,191
Beaumont-le-Roger,2879,37,2916
Beaumontel,657,15,672
Le Bec-Hellouin,396,3,399
Le Bec-Thomas,219,5,224
Bémécourt,576,7,583
Bérengeville-la-Campagne,324,6,330
Bernay,10085,358,10443
Bernienville,288,6,294
Bernouville,303,3,306
Berthouville,312,5,317
Berville-la-Campagne,245,1,246
Berville-sur-Mer,709,9,718
Beuzeville,4608,59,4667
Bézu-la-Forêt,320,6,326
Bézu-Saint-Éloi,1505,28,1533
Bois-Anzeray,176,2,178
Bois-Arnault,700,16,716
Le Bois-Hellain,226,2,228
Bois-Jérôme-Saint-Ouen,749,23,772
Bois-le-Roi,1185,18,1203
Bois-Normand-près-Lyre,340,4,344
Boisney,283,8,291
Boisset-les-Prévanches,468,9,477
Boissey-le-Châtel,880,10,890
La Boissière,273,4,277
Boissy-Lamberville,350,5,355
Boncourt,186,6,192
Bonneville-Aptot,257,4,261
La Bonneville-sur-Iton,2131,50,2181
Le Bosc du Theil,1344,13,1357
Bosgouet,707,5,712
Bosquentin,123,1,124
Bosrobert,664,5,669
Bosroumois,3588,67,3655
Les Bottereaux,349,12,361
Bouafles,653,12,665
Bouchevilliers,81,3,84
Le Boulay-Morin,777,10,787
Boulleville,1148,21,1169
Bouquelon,512,9,521
Bouquetot,1060,22,1082
Bourg-Achard,3947,49,3996
Bourg-Beaudouin,708,10,718
Bournainville-Faverolles,483,5,488
Bourneville-Sainte-Croix,1291,24,1315
Bourth,1255,34,1289
Bray,398,4,402
Brestot,596,6,602
Bretagnolles,201,5,206
Breteuil,4424,120,4544
Brétigny,134,6,140
Breuilpont,1222,21,1243
Breux-sur-Avre,346,7,353
Brionne,4278,152,4430
Broglie,1057,21,1078
Brosville,633,10,643
Bueil,1621,29,1650
Burey,400,5,405
Caillouet-Orgeville,477,12,489
Cailly-sur-Eure,219,1,220
Calleville,669,11,680
Campigny,1201,10,1211
Canappeville,678,20,698
Caorches-Saint-Nicolas,592,15,607
Capelle-les-Grands,428,11,439
Caugé,866,24,890
Caumont,1058,10,1068
Cauverville-en-Roumois,226,0,226
Cesseville,489,5,494
Chaignes,277,12,289
Chaise-Dieu-du-Theil,216,5,221
Chamblac,391,13,404
Chambois,1376,31,1407
Chambord,163,6,169
Chambray,423,11,434
Champ-Dolent,66,0,66
Champenard,270,7,277
Champigny-la-Futelaye,289,3,292
La Chapelle-Bayvel,386,5,391
La Chapelle-du-Bois-des-Faulx,653,10,663
La Chapelle-Gauthier,398,6,404
La Chapelle-Hareng,100,3,103
La Chapelle-Longueville,3371,105,3476
Charleval,1789,21,1810
Château-sur-Epte,569,9,578
Chauvincourt-Provemont,365,6,371
Chavigny-Bailleul,593,16,609
Chennebrun,109,1,110
Chéronvilliers,505,17,522
Cierrey,743,27,770
Claville,1082,21,1103
Clef Vallée d'Eure,2533,47,2580
Collandres-Quincarnon,233,5,238
Colletot,202,1,203
Combon,813,8,821
Conches-en-Ouche,5030,65,5095
Condé-sur-Risle,639,6,645
Connelles,189,7,196
Conteville,999,10,1009
Cormeilles,1161,21,1182
Le Cormier,408,12,420
Corneville-la-Fouquetière,121,3,124
Corneville-sur-Risle,1357,25,1382
Coudray,218,5,223
Coudres,552,12,564
Courbépine,727,16,743
Courcelles-sur-Seine,2040,34,2074
Courdemanche,597,12,609
Courteilles,148,1,149
La Couture-Boussey,2314,45,2359
Crasville,126,3,129
Crestot,565,6,571
Criquebeuf-la-Campagne,310,4,314
Criquebeuf-sur-Seine,1449,15,1464
La Croisille,440,7,447
Croisy-sur-Eure,188,10,198
Crosville-la-Vieille,603,11,614
Croth,1348,16,1364
Cuverville,248,2,250
Les Damps,1389,8,1397
Dangu,573,12,585
Dardez,152,7,159
Daubeuf-la-Campagne,233,6,239
Daubeuf-près-Vatteville,468,8,476
Douains,513,14,527
Doudeauville-en-Vexin,302,9,311
Douville-sur-Andelle,446,3,449
Droisy,439,3,442
Drucourt,606,8,614
Duranville,153,3,156
Écaquelon,613,11,624
Écardenville-la-Campagne,473,12,485
Écauville,111,2,113
Écouis,816,14,830
Ecquetot,374,9,383
Émalleville,522,26,548
Émanville,572,9,581
Épaignes,1617,16,1633
Épégard,574,8,582
Épieds,354,3,357
Épreville-en-Lieuvin,195,3,198
Épreville-près-le-Neubourg,471,10,481
Étrépagny,3764,80,3844
Étréville,676,11,687
Éturqueraye,298,3,301
Évreux,47733,1299,49032
Ézy-sur-Eure,3670,52,3722
Fains,440,7,447
Farceaux,344,6,350
Fatouville-Grestain,746,11,757
Fauville,353,6,359
Faverolles-la-Campagne,159,3,162
Le Favril,170,2,172
La Ferrière-sur-Risle,221,3,224
Ferrières-Haut-Clocher,1166,27,1193
Ferrières-Saint-Hilaire,419,7,426
Feuguerolles,177,5,182
Le Fidelaire,1024,14,1038
Fiquefleur-Équainville,725,10,735
Flancourt-Crescy-en-Roumois,1455,20,1475
Fleury-la-Forêt,265,8,273
Fleury-sur-Andelle,1844,20,1864
Flipou,324,3,327
Folleville,199,4,203
Fontaine-Bellenger,1150,20,1170
Fontaine-l'Abbé,527,8,535
Fontaine-la-Louvet,332,7,339
Fontaine-sous-Jouy,873,24,897
La Forêt-du-Parc,597,9,606
Fort-Moville,500,7,507
Foucrainville,78,3,81
Foulbec,659,8,667
Fouqueville,460,5,465
Franqueville,332,6,338
Frenelles-en-Vexin,1689,36,1725
Freneuse-sur-Risle,360,4,364
Fresne-Cauverville,196,3,199
Fresney,346,6,352
Gadencourt,382,6,388
Gaillon,6924,98,7022
Gamaches-en-Vexin,291,8,299
Garennes-sur-Eure,1908,37,1945
Gasny,3089,50,3139
Gauciel,861,7,868
Gaudreville-la-Rivière,227,8,235
Gauville-la-Campagne,578,12,590
Gisors,11537,167,11704
Giverny,494,15,509
Giverville,400,5,405
Glisolles,847,17,864
Glos-sur-Risle,591,13,604
La Goulafrière,165,3,168
Goupil-Othon,1257,17,1274
Gournay-le-Guérin,132,11,143
Grand Bourgtheroulde,3802,72,3874
Grand-Camp,493,10,503
Graveron-Sémerville,303,6,309
Gravigny,3940,81,4021
Grosley-sur-Risle,523,4,527
Grossœuvre,1227,26,1253
Guerny,172,6,178
Guichainville,2757,56,2813
Guiseniers,461,8,469
L' Habit,506,7,513
Hacqueville,438,8,446
Harcourt,1068,6,1074
Hardencourt-Cocherel,259,13,272
La Harengère,595,5,600
Harquency,264,9,273
Hauville,1279,27,1306
La Haye-Aubrée,462,11,473
La Haye-de-Calleville,265,3,268
La Haye-de-Routot,305,5,310
La Haye-du-Theil,298,0,298
La Haye-le-Comte,135,5,140
La Haye-Malherbe,1403,19,1422
La Haye-Saint-Sylvestre,279,2,281
Hébécourt,586,13,599
Hecmanville,173,3,176
Hécourt,330,13,343
Hectomare,219,8,227
Hennezis,789,15,804
Herqueville,134,4,138
Heubécourt-Haricourt,464,10,474
Heudebouville,788,12,800
Heudicourt,684,7,691
Heudreville-en-Lieuvin,108,0,108
Heudreville-sur-Eure,1052,31,1083
La Heunière,367,4,371
Heuqueville,361,6,367
Les Hogues,642,8,650
Hondouville,798,15,813
Honguemare-Guenouville,696,7,703
L' Hosmes,68,3,71
Houetteville,205,6,211
Houlbec-Cocherel,1305,56,1361
La Houssaye,210,2,212
Houville-en-Vexin,233,1,234
Huest,799,14,813
Igoville,1746,20,1766
Illeville-sur-Montfort,874,22,896
Illiers-l'Évêque,999,17,1016
Incarville,1416,24,1440
Irreville,467,8,475
Iville,464,4,468
Ivry-la-Bataille,2724,29,2753
Jouy-sur-Eure,583,13,596
Juignettes,220,1,221
Jumelles,321,7,328
La Lande-Saint-Léger,368,4,372
Le Landin,209,5,214
Launay,200,3,203
Léry,2033,38,2071
Le Lesme,669,9,678
Letteguives,203,3,206
Lieurey,1451,16,1467
Lignerolles,327,10,337
Lilly,84,2,86
Lisors,350,6,356
Livet-sur-Authou,150,1,151
Longchamps,635,5,640
Lorleau,144,2,146
Louversey,538,14,552
Louviers,18648,421,19069
Louye,220,6,226
Lyons-la-Forêt,723,7,730
La Madeleine-de-Nonancourt,1146,23,1169
Mainneville,425,8,433
Malleville-sur-le-Bec,261,4,265
Malouy,160,0,160
Mandeville,318,9,327
Mandres,373,11,384
Manneville-la-Raoult,506,11,517
Manneville-sur-Risle,1531,21,1552
Le Manoir,1278,6,1284
Marais-Vernier,508,13,521
Marbeuf,461,17,478
Marbois,1387,20,1407
Marcilly-la-Campagne,1161,17,1178
Marcilly-sur-Eure,1580,31,1611
Martagny,152,4,156
Martainville,493,2,495
Martot,573,11,584
Mélicourt,83,1,84
Ménesqueville,465,8,473
Ménilles,1728,42,1770
Menneval,1430,94,1524
Mercey,50,1,51
Merey,348,5,353
Mesnil-en-Ouche,4684,128,4812
Le Mesnil-Fuguet,171,7,178
Le Mesnil-Jourdain,233,12,245
Mesnil-Rousset,93,1,94
Le Mesnil-Saint-Jean,209,6,215
Mesnil-sous-Vienne,110,5,115
Mesnil-sur-l'Estrée,904,22,926
Mesnil-Verclives,316,9,325
Mesnils-sur-Iton,6122,252,6374
Mézières-en-Vexin,613,18,631
Miserey,629,7,636
Moisville,238,1,239
Montfort-sur-Risle,761,11,772
Montreuil-l'Argillé,823,11,834
Les Monts du Roumois,1559,32,1591
Morainville-Jouveaux,372,3,375
Morgny,656,12,668
Morsan,108,0,108
Mouettes,786,5,791
Mouflaines,167,9,176
Mousseaux-Neuville,647,14,661
Muids,871,25,896
Muzy,805,19,824
Nagel-Séez-Mesnil,327,8,335
Nassandres sur Risle,2394,46,2440
Neaufles-Auvergny,423,8,431
Neaufles-Saint-Martin,1294,7,1301
Le Neubourg,4166,209,4375
Neuilly,178,0,178
La Neuve-Grange,330,3,333
La Neuve-Lyre,573,6,579
La Neuville-du-Bosc,652,7,659
Neuville-sur-Authou,194,2,196
Noards,54,0,54
La Noë-Poulain,272,3,275
Nogent-le-Sec,427,6,433
Nojeon-en-Vexin,339,6,345
Nonancourt,2282,46,2328
Normanville,1073,35,1108
Notre-Dame-d'Épine,81,0,81
Notre-Dame-de-l'Isle,671,21,692
Notre-Dame-du-Hamel,210,7,217
Le Noyer-en-Ouche,228,2,230
Noyers,264,4,268
Ormes,489,3,492
Pacy-sur-Eure,5090,124,5214
Parville,308,6,314
Le Perrey,1233,13,1246
Perriers-sur-Andelle,1809,19,1828
Perruel,469,3,472
Piencourt,155,3,158
Pinterville,745,10,755
Piseux,744,13,757
Pîtres,2519,25,2544
Les Places,78,1,79
Plainville,195,5,200
Le Planquay,157,2,159
Plasnes,713,9,722
Le Plessis-Grohan,870,18,888
Le Plessis-Hébert,400,13,413
Le Plessis-Sainte-Opportune,335,5,340
Pont-Audemer,10230,245,10475
Pont-Authou,632,8,640
Pont-de-l'Arche,4143,57,4200
Pont-Saint-Pierre,1151,22,1173
Port-Mort,931,26,957
Porte-de-Seine,207,7,214
Portes,271,3,274
Poses,1169,22,1191
La Poterie-Mathieu,169,1,170
Les Préaux,377,9,386
Pressagny-l'Orgueilleux,706,26,732
Prey,950,25,975
Puchay,626,7,633
Pullay,400,53,453
La Pyle,156,4,160
Quatremare,418,6,424
Quillebeuf-sur-Seine,870,9,879
Quittebeuf,663,11,674
Radepont,657,5,662
Renneville,197,3,200
Reuilly,525,12,537
Richeville,272,5,277
Romilly-la-Puthenaye,318,10,328
Romilly-sur-Andelle,3261,51,3312
La Roquette,238,2,240
Rosay-sur-Lieure,530,6,536
Rouge-Perriers,367,4,371
Rougemontiers,1058,9,1067
Routot,1600,52,1652
Rouvray,263,6,269
Rugles,2246,27,2273
Sacquenville,1231,36,1267
Saint-Agnan-de-Cernières,161,1,162
Saint-André-de-l'Eure,3988,65,4053
Saint-Antonin-de-Sommaire,183,5,188
Saint-Aubin-d'Écrosville,709,11,720
Saint-Aubin-de-Scellon,346,7,353
Saint-Aubin-du-Thenney,373,3,376
Saint-Aubin-sur-Gaillon,1989,44,2033
Saint-Aubin-sur-Quillebeuf,716,13,729
Saint-Benoît-des-Ombres,143,2,145
Saint-Christophe-sur-Avre,142,6,148
Saint-Christophe-sur-Condé,481,4,485
Saint-Cyr-de-Salerne,205,7,212
Saint-Cyr-la-Campagne,427,9,436
Saint-Denis-d'Augerons,85,4,89
Saint-Denis-des-Monts,211,2,213
Saint-Denis-le-Ferment,488,20,508
Saint-Didier-des-Bois,887,10,897
Saint-Élier,440,9,449
Saint-Éloi-de-Fourques,522,15,537
Saint-Étienne-du-Vauvray,882,14,896
Saint-Étienne-l'Allier,547,9,556
Saint-Étienne-sous-Bailleul,388,13,401
Saint-Georges-du-Vièvre,884,15,899
Saint-Georges-Motel,889,11,900
Saint-Germain-de-Fresney,206,5,211
Saint-Germain-de-Pasquier,126,5,131
Saint-Germain-des-Angles,173,2,175
Saint-Germain-la-Campagne,893,11,904
Saint-Germain-sur-Avre,1177,25,1202
Saint-Grégoire-du-Vièvre,318,7,325
Saint-Jean-du-Thenney,245,7,252
Saint-Julien-de-la-Liègue,413,3,416
Saint-Laurent-des-Bois,248,5,253
Saint-Laurent-du-Tencement,64,0,64
Saint-Léger-de-Rôtes,436,6,442
Saint-Léger-du-Gennetey,182,6,188
Saint-Luc,253,12,265
Saint-Maclou,627,12,639
Saint-Marcel,4493,136,4629
Saint-Mards-de-Blacarville,801,16,817
Saint-Mards-de-Fresne,334,6,340
Saint-Martin-du-Tilleul,240,4,244
Saint-Martin-la-Campagne,99,2,101
Saint-Martin-Saint-Firmin,329,10,339
Saint-Meslin-du-Bosc,284,4,288
Saint-Ouen-de-Pontcheuil,95,2,97
Saint-Ouen-de-Thouberville,2378,29,2407
Saint-Ouen-du-Tilleul,1653,18,1671
Saint-Paul-de-Fourques,294,9,303
Saint-Philbert-sur-Boissey,172,1,173
Saint-Philbert-sur-Risle,787,7,794
Saint-Pierre-de-Bailleul,955,37,992
