COM,PMUN,PCAP,PTOT
Neuville-sur-Ain,1756,28,1784
Les Neyrolles,639,15,654
Neyron,2527,49,2576
Niévroz,1619,27,1646
Nivigne et Suran,814,11,825
Nivollet-Montgriffon,119,2,121
Nurieux-Volognat,1028,24,1052
Oncieu,89,6,95
Ordonnaz,141,1,142
Ornex,4410,165,4575
Outriaz,260,6,266
Oyonnax,22427,516,22943
Ozan,686,6,692
Parcieux,1206,29,1235
Parves et Nattages,942,38,980
Péron,2620,53,2673
Péronnas,6385,290,6675
Pérouges,1201,27,1228
Perrex,838,7,845
Peyriat,157,4,161
Peyrieu,873,15,888
Peyzieux-sur-Saône,661,13,674
Pirajoux,408,7,415
Pizay,820,14,834
Plagne,132,2,134
Le Plantay,564,9,573
Plateau d'Hauteville,4853,178,5031
Le Poizat-Lalleyriat,720,15,735
Polliat,2511,61,2572
Pollieu,159,6,165
Poncin,1703,35,1738
Pont-d'Ain,2964,29,2993
Pont-de-Vaux,2258,45,2303
Pont-de-Veyle,1625,65,1690
Port,849,20,869
Pougny,812,14,826
Pouillat,88,0,88
Prémeyzel,248,4,252
Prémillieu,45,0,45
Prévessin-Moëns,8233,198,8431
Priay,1729,34,1763
Ramasse,324,6,330
Rancé,727,17,744
Relevant,463,5,468
Replonges,3717,79,3796
Revonnas,905,29,934
Reyrieux,4797,132,4929
Reyssouze,980,13,993
Rignieux-le-Franc,971,17,988
Romans,590,4,594
Rossillon,151,6,157
Ruffieu,186,5,191
Saint-Alban,178,4,182
Saint-André-d'Huiriat,626,9,635
Saint-André-de-Bâgé,751,22,773
Saint-André-de-Corcy,3354,54,3408
Saint-André-le-Bouchoux,390,6,396
Saint-André-sur-Vieux-Jonc,1147,29,1176
Saint-Bénigne,1265,27,1292
Saint-Bernard,1433,42,1475
Saint-Cyr-sur-Menthon,1776,40,1816
Saint-Denis-en-Bugey,2309,27,2336
Saint-Denis-lès-Bourg,5747,161,5908
Saint-Didier-d'Aussiat,871,13,884
Saint-Didier-de-Formans,1960,69,2029
Saint-Didier-sur-Chalaronne,2875,63,2938
Saint-Éloi,456,5,461
Saint-Étienne-du-Bois,2448,37,2485
Saint-Étienne-sur-Chalaronne,1555,27,1582
Saint-Étienne-sur-Reyssouze,571,6,577
Saint-Genis-Pouilly,12544,181,12725
Saint-Genis-sur-Menthon,472,7,479
Saint-Georges-sur-Renon,214,5,219
Saint-Germain-de-Joux,501,5,506
Saint-Germain-les-Paroisses,434,3,437
Saint-Germain-sur-Renon,236,4,240
Saint-Jean-de-Gonville,1787,44,1831
Saint-Jean-de-Niost,1477,42,1519
Saint-Jean-de-Thurigneux,771,13,784
Saint-Jean-le-Vieux,1723,79,1802
Saint-Jean-sur-Reyssouze,744,7,751
Saint-Jean-sur-Veyle,1149,20,1169
Saint-Julien-sur-Reyssouze,749,4,753
Saint-Julien-sur-Veyle,817,15,832
Saint-Just,926,24,950
Saint-Laurent-sur-Saône,1722,27,1749
Saint-Marcel,1279,25,1304
Saint-Martin-de-Bavel,438,5,443
Saint-Martin-du-Frêne,1049,36,1085
Saint-Martin-du-Mont,1826,45,1871
Saint-Martin-le-Châtel,787,20,807
Saint-Maurice-de-Beynost,3967,39,4006
Saint-Maurice-de-Gourdans,2572,53,2625
Saint-Maurice-de-Rémens,756,9,765
Saint-Nizier-le-Bouchoux,680,12,692
Saint-Nizier-le-Désert,916,19,935
Saint-Paul-de-Varax,1529,20,1549
Saint-Rambert-en-Bugey,2269,33,2302
Saint-Rémy,994,23,1017
Saint-Sorlin-en-Bugey,1157,62,1219
Saint-Sulpice,257,4,261
Saint-Trivier-de-Courtes,1093,9,1102
Saint-Trivier-sur-Moignans,1799,41,1840
Saint-Vulbas,1286,20,1306
Sainte-Croix,570,8,578
Sainte-Euphémie,1667,28,1695
Sainte-Julie,1017,17,1034
Sainte-Olive,283,2,285
Salavre,272,9,281
Samognat,653,27,680
Sandrans,530,5,535
Sault-Brénaz,953,13,966
Sauverny,1009,21,1030
Savigneux,1351,16,1367
Ségny,2062,50,2112
Seillonnaz,137,3,140
Sergy,2084,40,2124
Sermoyer,668,20,688
Serrières-de-Briord,1264,18,1282
Serrières-sur-Ain,134,2,136
Servas,1247,28,1275
Servignat,175,1,176
Seyssel,999,18,1017
Simandre-sur-Suran,671,12,683
Sonthonnax-la-Montagne,312,7,319
Souclin,273,6,279
Sulignat,586,12,598
Surjoux-Lhopital,131,3,134
Talissieu,450,10,460
Tenay,1035,12,1047
Thil,1088,25,1113
Thoiry,6038,177,6215
Thoissey,1741,15,1756
Torcieu,726,16,742
Tossiat,1362,36,1398
Toussieux,1091,20,1111
Tramoyes,1681,43,1724
La Tranclière,286,7,293
Trévoux,6845,164,7009
Val-Revermont,2601,53,2654
Valeins,130,1,131
Valromey-sur-Séran,1311,18,1329
Valserhône,16423,381,16804
Vandeins,687,13,700
Varambon,584,14,598
Vaux-en-Bugey,1224,30,1254
Verjon,295,2,297
Vernoux,330,1,331
Versailleux,438,9,447
Versonnex,2176,70,2246
Vesancy,484,11,495
Vescours,241,5,246
Vésines,99,4,103
Vieu-d'Izenave,707,17,724
Villars-les-Dombes,4795,89,4884
Villebois,1173,17,1190
Villemotier,656,22,678
Villeneuve,1501,36,1537
Villereversure,1291,48,1339
Villes,376,8,384
Villette-sur-Ain,755,12,767
Villieu-Loyes-Mollon,3653,64,3717
Viriat,6418,148,6566
Virieu-le-Grand,1081,25,1106
Virignin,1097,21,1118
Vongnes,70,2,72
Vonnas,2961,58,3019
Abbécourt,498,8,506
Achery,598,8,606
Acy,1012,23,1035
Agnicourt-et-Séchelles,177,8,185
Aguilcourt,384,8,392
Aisonville-et-Bernoville,255,9,264
Aizelles,125,1,126
Aizy-Jouy,291,4,295
Alaincourt,543,6,549
Allemant,177,4,181
Ambleny,1155,54,1209
Ambrief,70,0,70
Amifontaine,404,9,413
Amigny-Rouy,744,14,758
Ancienville,75,0,75
Andelain,228,9,237
Anguilcourt-le-Sart,315,4,319
Anizy-le-Grand,2533,51,2584
Annois,364,5,369
Any-Martin-Rieux,456,4,460
Archon,87,3,90
Arcy-Sainte-Restitue,403,6,409
Armentières-sur-Ourcq,103,3,106
Arrancy,53,0,53
Artemps,371,2,373
Assis-sur-Serre,222,8,230
Athies-sous-Laon,2604,59,2663
Attilly,363,12,375
Aubencheul-aux-Bois,269,4,273
Aubenton,657,6,663
Aubigny-aux-Kaisnes,253,4,257
Aubigny-en-Laonnois,105,2,107
Audignicourt,118,4,122
Audigny,279,8,287
Augy,82,1,83
